id	age	sex	marital	children	educ	source	smoke	smokenum	lotr1	lotr2	lotr3	lotr4	lotr5	lotr6	mastery1	mastery2	mastery3	mastery4	mastery5	mastery6	mastery7	panas1	panas2	panas3	panas4	panas5	panas6	panas7	panas8	panas9	panas10	panas11	panas12	panas13	panas14	panas15	panas16	panas17	panas18	panas19	panas20	swls1	swls2	swls3	swls4	swls5	pss1	pss2	pss3	pss4	pss5	pss6	pss7	pss8	pss9	pss10	rses1	rses2	rses3	rses4	rses5	rses6	rses7	rses8	rses9	rses10
1	24	female	married first time	yes	undergraduate degree	life in general	no	0	3	2	3	2	2	4	2	4	2	2	4	2	3	5	5	4	4	4	5	5	5	5	5	5	5	5	3	5	3	5	5	4	4	5	6	5	4	3	3	3	4	3	4	3	3	3	3	2	4	4	1	4	1	4	4	2	3	3
2	39	male	living with partner	yes	undergraduate degree	work	yes	2	2	3	4	3	4	5	2	4	2	3	4	2	3	4	5	4	5	3	3	3	2	5	4	4	4	4	3	2	2	2	3	4	4	7	6	5	7	5	2	2	3	5	4	3	5	4	3	3	3	4	1	4	1	4	3	3	1	3
3	48	female	married first time	yes	some secondary school	children	no	0	3	1	3	3	4	3	3	3	2	3	3	2	2	2	1	2	2	1	1	3	1	1	1	1	1	1	2	2	2	1	1	2	1	7	7	7	6	6	1	2	2	4	4	2	4	4	2	2	4	3	3	3	1	3	3	2	2	2
4	41	male	remarried	yes	some secondary school	work	no	0	3	1	5	3	1	5	2	4	1	1	4	1	2	5	5	3	5	2	5	5	5	5	5	5	5	4	2	5	5	5	5	3	1	7	6	7	7	6	4	3	5	5	4	3	3	4	5	3	4	4	1	4	1	4	4	1	1	1
5	23	male	single	no	undergraduate degree	work	no	0	3	2	3	2	3	1	1	4	2	1	2	2	2	1	1	1	1	1	1	1	2	3	1	1	1	1	1	1	1	1	1	1	1	3	3	4	3	3	2	2	3	2	3	2	4	3	3	3	2	2	2	2	4	2	2	3	3	2
6	31	female	married first time	yes	undergraduate degree	life in general	no	0	2	2	2	2	4	3	1	3	2	2	3	1	2	2	1	1	3	1	2	1	1	1	1	3	1	1	1	1	1	1	1	1	1	2	2	2	2	2	1	1	3	4	3	2	4	3	2	2	2	3	2	3	2	2	2	3	3	3
7	30	female	separated	no	some additional training	money/finances	no	0	3	5	1	4	4	1	4	2	4	4	2	4	4	1	4	4	1	3	1	1	4	1	3	4	1	1	3	1	4	2	1	4	4	1	1	1	1	1	4	4	4	2	2	4	2	3	4	4	2	3	4	2	4	2	2	4	4	4
8	23	male	steady relationship	no	undergraduate degree	work	yes	100	4	1	3	1	2	4	2	4	1	2	3	3	3	1	3	4	1	2	1	1	5	1	4	4	1	2	5	2	5	1	1	4	2	5	5	5	4	6	3	3	5	3	2	5	2	1	2	5	4	4	1	4	1	3	3	3	2	2
9	18	female	steady relationship	no	some secondary school	spouse/partner	yes	40	3	4	2	4	4	2	3	2	3	3	2	4	4	2	4	4	1	4	1	1	4	1	1	1	1	1	4	1	4	1	1	4	4	2	2	2	1	1	4	4	5	2	1	4	3	2	5	5	2	2	3	2	4	1	1	4	4	4
10	23	male	single	no	graduate degree		no	0	1	3	1	4	5	1	3	1	3	3	2	4	2	2	5	5	2	4	2	2	5	2	3	4	2	2	5	2	5	2	2	5	5	1	1	1	1	1	4	5	5	1	1	5	2	1	4	4	2	2	3	3	2	1	1	4	1	1
11	27	male	single	no	high school	work	yes	100	5	1	5	1	1	5	1	4	1	1	4	1	4	4	4	3	4	2	5	4	4	5	2	3	3	4	2	4	4	4	4	5	4	5	5	5	5	3	2	2	5	5	4	2	4	3	1	3	4	4	1	4	1	3	3	3	1	2
12	34	female	married first time	yes	undergraduate degree	family	no	0	4	1	4	1	1	5	1	4	1	1	4	3	1	4	5	3	4	1	4	3	4	3	1	4	4	4	2	3	1	5	3	2	2	6	7	6	7	5	2	1	2	5	5	2	4	4	1	2	4	4	1	1	1	4	4	1	1	1
13	35	male	single	no	some additional training	life in general	no	0	2	4	5	5	2	2	3	4	3	3	2	3	2	2	2	3	1	2	1	1	2	1	1	3	1	1	2	1	1	1	1	2	2	1	1	1	1	1	3	5	4	3	3	3	3	3	4	3	2	3	2	2	2	1	3	3	3	3
14	43	female	married first time	yes	some secondary school	spouse/partner	no	0	4	3	3	3	3	4	3	4	2	2	4	4	4	3	5	1	1	5	5	1	4	1	5	5	1	1	1	1	5	1	1	5	5	1	1	2	2	2	4	4	4	2	1	5	1	1	1	5	4	4	1	1	1	3	3	4	3	4
15	50	male	married first time	yes	some additional training	work	no	0	4	3	1	4	3	4	2	4	2	2	3	2	3	1	1	1	3	1	5	3	3	3	1	5	1	1	1	1	1	1	1	1	1	5	5	5	6	6	3	2	3	5	4	1	5	5	3	2	4	4	1	4	1	3	3	1	1	1
16	57	male	married first time	no	some additional training	health/illness	yes	200	1	3	5	3	5	1	4	4	1	3	2	4	4	3	3	5	1	5	5	2	4	3	1	3	1	3	5	1	4	3	3	5	2	1	1	1	3	1	3	4	4	2	5	3	4	5	3	5	1	4	2	4	2	2	1	4	2	2
17	37	female	separated	yes	high school	work	no	0	3	3	3	2	3	3	3	3	1	1	4	2	2	3	5	3	1	5	3	3	4	1	5	5	1	2	2	1	5	2	2	4	5	2	2	2	6	2	5	5	5	2	3	2	3	3	5	5	2	2	3	2	2	1	1	4	3	3
18	41	female	divorced	yes	graduate degree	work	no	0	4	3	4	2	4	4	3	4	4	4	2	2	2	3	4	1	2	2	4	2	2	3	4	4	1	2	1	1	2	3	2	2	2	5	4	5	5	2	4	4	4	3	2	5	2	2	5	5	4	4	1	4	1	3	4	3	3	1
19	19	female	single	no	high school	life in general	no	0	4	4	4	4	3	2	3	2	3	3	4	4	4	2	5	5	3	4	2	3	2	1	1	3	2	2	5	3	3	2	2	5	3	3	1	2	1	2	5	5	5	3	2	5	3	2	5	5	4	4	4	3	3	2	2	4	4	4
20	25	female	single	no	undergraduate degree	work	no	0	4	2	3	1	1	5	1	4	1	3	4	2	1	4	4	5	1	2	3	2	5	2	1	5	3	3	5	3	2	3	3	5	5	1	1	4	7	7	3	4	5	4	3	3	3	2	1	5	4	4	1	3	1	3	4	1	3	1
21	23	male	single	no	high school	work	no	0	4	5	3	4	4	2	3	3	2	3	3	1	2	4	2	2	2	3	5	1	2	2	2	2	2	1	2	3	2	1	1	1	1	4	4	2	2	5	3	3	4	2	2	4	3	2	5	5	3	3	2	2	3	2	3	2	2	1
22	53	female	married first time	no	some secondary school	health/illness	no	0	3	5	5	5	5	2	4	2	4	4	4	4	4	2	5	1	1	1	4	1	5	1	5	5	1	2	2	1	1	1	3	5	5	7	6	7	2	1	5	5	5	5	1	5	3	3	5	5	4	3	4	3	4	1	2	4	3	3
23	47	female	married first time	yes	some additional training	work	no	0	5	4	5	2	2	5	2	3	3	3	4	3	1	5	3	3	4	3	5	5	4	5	4	4	5	4	3	5	3	5	3	3	2	6	6	6	7	7	5	3	4	5	3	3	3	4	3	2	4	4	1	4	1	4	4	3	1	1
24	36	female	separated	yes	some secondary school	work	no	0	2	4	3	4	4	3	2	3	2	2	4	2	3	5	4	4	3	4	5	3	4	3	5	3	2	2	4	2	4	2	4	4	4	3	4	4	3	6	3	3	4	3	2	3	2	3	4	3	4	4	2	3	3	3	3	3	3	2
25	21	male	single	no	high school	work	no	0	3	3	3	3	2	5	2	3	3	3	3	3	3	4	4	4	3	2	5	4	5	2	2	5	4	2	4	4	1	4	4	5	5	4	5	5	5	4	3	4	5	5	3	5	4	4	3	3	4	4	1	3	4	4	3	1	3	3
26	26	female	living with partner	yes	undergraduate degree	work	no	0	4	2	4	2	2	4	3	2	2	3	3	1	1	5	3	2	4	1	4	3	1	4	1	2	3	4	1	2	1	4	5	1	1	3	4	5	5	3	4	4	4	3	3	2	4	3	5	4	4	4	1	4	1	3	4	2	3	1
