id	age	sex	marital	children	educ	source	smoke	smokenum	lotr1	lotr2	lotr3	lotr4	lotr5	lotr6	mastery1	mastery2	mastery3	mastery4	mastery5	mastery6	mastery7	panas1	panas2	panas3	panas4	panas5	panas6	panas7	panas8	panas9	panas10	panas11	panas12	panas13	panas14	panas15	panas16	panas17	panas18	panas19	panas20	swls1	swls2	swls3	swls4	swls5	pss1	pss2	pss3	pss4	pss5	pss6	pss7	pss8	pss9	pss10	rses1	rses2	rses3	rses4	rses5	rses6	rses7	rses8	rses9	rses10	lotr	mastery	pss	rses	posaff	negaff
1	24	female	married first time	yes	undergraduate degree	life in general	no	0	3	4	3	4	4	4	3	4	3	3	4	3	2	5	5	4	4	4	5	5	5	5	5	5	5	5	3	5	3	5	5	4	4	5	6	5	4	3	3	3	4	3	2	3	3	3	3	2	4	4	4	4	4	4	4	3	2	2	22	22	29	35	49	42
2	39	male	living with partner	yes	undergraduate degree	work	yes	2	2	3	4	3	2	5	3	4	3	2	4	3	2	4	5	4	5	3	3	3	2	5	4	4	4	4	3	2	2	2	3	4	4	7	6	5	7	5	2	2	3	1	2	3	1	2	3	3	3	4	4	4	4	4	3	2	4	2	19	21	22	34	35	35
3	48	female	married first time	yes	some secondary school	children	no	0	3	5	3	3	2	3	2	3	3	2	3	3	3	2	1	2	2	1	1	3	1	1	1	1	1	1	2	2	2	1	1	2	1	7	7	7	6	6	1	2	2	2	2	2	2	2	2	2	4	3	2	3	4	3	3	3	3	3	19	19	19	31	15	14
4	41	male	remarried	yes	some secondary school	work	no	0	3	5	5	3	5	5	3	4	4	4	4	4	3	5	5	3	5	2	5	5	5	5	5	5	5	4	2	5	5	5	5	3	1	7	6	7	7	6	4	3	5	1	2	3	3	2	5	3	4	4	4	4	4	4	4	4	4	4	26	26	31	40	49	36
5	23	male	single	no	undergraduate degree	work	no	0	3	4	3	4	3	1	4	4	3	4	2	3	3	1	1	1	1	1	1	1	2	3	1	1	1	1	1	1	1	1	1	1	1	3	3	4	3	3	2	2	3	4	3	2	2	3	3	3	2	2	3	2	1	2	2	2	2	3	18	23	27	21	12	11
6	31	female	married first time	yes	undergraduate degree	life in general	no	0	2	4	2	4	2	3	4	3	3	3	3	4	3	2	1	1	3	1	2	1	1	1	1	3	1	1	1	1	1	1	1	1	1	2	2	2	2	2	1	1	3	2	3	2	2	3	2	2	2	3	3	3	3	2	2	2	2	2	17	23	21	24	14	12
7	30	female	separated	no	some additional training	money/finances	no	0	3	1	1	2	2	1	1	2	1	1	2	1	1	1	4	4	1	3	1	1	4	1	3	4	1	1	3	1	4	2	1	4	4	1	1	1	1	1	4	4	4	4	4	4	4	3	4	4	2	3	1	2	1	2	2	1	1	1	10	9	39	16	11	37
8	23	male	steady relationship	no	undergraduate degree	work	yes	100	4	5	3	5	4	4	3	4	4	3	3	2	2	1	3	4	1	2	1	1	5	1	4	4	1	2	5	2	5	1	1	4	2	5	5	5	4	6	3	3	5	3	4	5	4	5	2	5	4	4	4	4	4	3	3	2	3	3	25	21	39	34	12	38
9	18	female	steady relationship	no	some secondary school	spouse/partner	yes	40	3	2	2	2	2	2	2	2	2	2	2	1	1	2	4	4	1	4	1	1	4	1	1	1	1	1	4	1	4	1	1	4	4	2	2	2	1	1	4	4	5	4	5	4	3	4	5	5	2	2	2	2	1	1	1	1	1	1	13	12	43	14	11	34
10	23	male	single	no	graduate degree		no	0	1	3	1	2	1	1	2	1	2	2	2	1	3	2	5	5	2	4	2	2	5	2	3	4	2	2	5	2	5	2	2	5	5	1	1	1	1	1	4	5	5	5	5	5	4	5	4	4	2	2	2	3	3	1	1	1	4	4	9	13	46	23	20	46
11	27	male	single	no	high school	work	yes	100	5	5	5	5	5	5	4	4	4	4	4	4	1	4	4	3	4	2	5	4	4	5	2	3	3	4	2	4	4	4	4	5	4	5	5	5	5	3	2	2	5	1	2	2	2	3	1	3	4	4	4	4	4	3	3	2	4	3	30	25	23	35	41	33
12	34	female	married first time	yes	undergraduate degree	family	no	0	4	5	4	5	5	5	4	4	4	4	4	2	4	4	5	3	4	1	4	3	4	3	1	4	4	4	2	3	1	5	3	2	2	6	7	6	7	5	2	1	2	1	1	2	2	2	1	2	4	4	4	1	4	4	4	4	4	4	28	26	16	37	37	25
13	35	male	single	no	some additional training	life in general	no	0	2	2	5	1	4	2	2	4	2	2	2	2	3	2	2	3	1	2	1	1	2	1	1	3	1	1	2	1	1	1	1	2	2	1	1	1	1	1	3	5	4	3	3	3	3	3	4	3	2	3	3	2	3	1	3	2	2	2	16	17	34	23	11	20
14	43	female	married first time	yes	some secondary school	spouse/partner	no	0	4	3	3	3	3	4	2	4	3	3	4	1	1	3	5	1	1	5	5	1	4	1	5	5	1	1	1	1	5	1	1	5	5	1	1	2	2	2	4	4	4	4	5	5	5	5	1	5	4	4	4	1	4	3	3	1	2	1	20	18	42	27	16	41
15	50	male	married first time	yes	some additional training	work	no	0	4	3	1	2	3	4	3	4	3	3	3	3	2	1	1	1	3	1	5	3	3	3	1	5	1	1	1	1	1	1	1	1	1	5	5	5	6	6	3	2	3	1	2	1	1	1	3	2	4	4	4	4	4	3	3	4	4	4	17	21	19	38	20	16
16	57	male	married first time	no	some additional training	health/illness	yes	200	1	3	5	3	1	1	1	4	4	2	2	1	1	3	3	5	1	5	5	2	4	3	1	3	1	3	5	1	4	3	3	5	2	1	1	1	3	1	3	4	4	4	1	3	2	1	3	5	1	4	3	4	3	2	1	1	3	3	14	15	30	25	25	37
17	37	female	separated	yes	high school	work	no	0	3	3	3	4	3	3	2	3	4	4	4	3	3	3	5	3	1	5	3	3	4	1	5	5	1	2	2	1	5	2	2	4	5	2	2	2	6	2	5	5	5	4	3	2	3	3	5	5	2	2	2	2	3	1	1	1	2	2	19	23	40	18	19	43
18	41	female	divorced	yes	graduate degree	work	no	0	4	3	4	4	2	4	2	4	1	1	2	3	3	3	4	1	2	2	4	2	2	3	4	4	1	2	1	1	2	3	2	2	2	5	4	5	5	2	4	4	4	3	4	5	4	4	5	5	4	4	4	4	4	3	4	2	2	4	21	16	42	35	23	24
19	19	female	single	no	high school	life in general	no	0	4	2	4	2	3	2	2	2	2	2	4	1	1	2	5	5	3	4	2	3	2	1	1	3	2	2	5	3	3	2	2	5	3	3	1	2	1	2	5	5	5	3	4	5	3	4	5	5	4	4	1	3	2	2	2	1	1	1	17	14	44	21	22	36
20	25	female	single	no	undergraduate degree	work	no	0	4	4	3	5	5	5	4	4	4	2	4	3	4	4	4	5	1	2	3	2	5	2	1	5	3	3	5	3	2	3	3	5	5	1	1	4	7	7	3	4	5	2	3	3	3	4	1	5	4	4	4	3	4	3	4	4	2	4	26	25	33	36	27	39
21	23	male	single	no	high school	work	no	0	4	1	3	2	2	2	2	3	3	2	3	4	3	4	2	2	2	3	5	1	2	2	2	2	2	1	2	3	2	1	1	1	1	4	4	2	2	5	3	3	4	4	4	4	3	4	5	5	3	3	3	2	2	2	3	3	3	4	14	20	39	28	22	19
22	53	female	married first time	no	some secondary school	health/illness	no	0	3	1	5	1	1	2	1	2	1	1	4	1	1	2	5	1	1	1	4	1	5	1	5	5	1	2	2	1	1	1	3	5	5	7	6	7	2	1	5	5	5	1	5	5	3	3	5	5	4	3	1	3	1	1	2	1	2	2	13	11	42	20	17	35
23	47	female	married first time	yes	some additional training	work	no	0	5	2	5	4	4	5	3	3	2	2	4	2	4	5	3	3	4	3	5	5	4	5	4	4	5	4	3	5	3	5	3	3	2	6	6	6	7	7	5	3	4	1	3	3	3	2	3	2	4	4	4	4	4	4	4	2	4	4	25	20	29	38	46	32
